trading_point,open,high,low,close,volume
2021-10-02,3311.61,3470.0,3262.0,3391.71,75556065.80779332
2021-10-03,3388.58,3491.0,3343.63,3417.43,44583759.23034622
2021-10-04,3419.76,3440.38,3272.0,3383.88,69654398.19562645
2021-10-05,3389.04,3548.19,3364.77,3516.09,70960394.91988538
2021-10-06,3515.79,3630.63,3336.09,3576.54,141079108.73528728
2021-10-07,3575.89,3654.26,3470.01,3587.91,49447386.50632857
2021-10-08,3588.77,3674.93,3525.01,3563.15,50318107.53724142
2021-10-09,3564.65,3636.76,3538.25,3574.03,14503828.305213794
2021-10-10,3572.93,3604.99,3389.6,3422.0,37386742.27190864
2021-10-11,3415.01,3623.71,3370.01,3543.94,45601565.31829002
2021-10-12,3540.27,3549.26,3404.33,3490.18,107486842.84681022
2021-10-13,3490.95,3613.86,3411.71,3609.35,58000308.11210157
2021-10-14,3609.6,3825.89,3589.9,3790.53,129877855.16118409
2021-10-15,3792.25,3904.87,3735.61,3868.99,97756915.88619208
2021-10-16,3869.68,3971.8,3792.56,3829.26,97309382.7152464
2021-10-17,3828.09,3920.0,3638.59,3844.97,81229270.35956146
2021-10-18,3845.78,3894.56,3675.4,3744.75,135776485.64262047
2021-10-19,3749.4,3888.34,3732.47,3878.13,70444458.02574949
2021-10-20,3877.89,4170.0,3829.54,4163.58,89250822.56501907
2021-10-21,4164.59,4375.0,3800.0,4055.82,158093394.79648986
2021-10-22,4055.46,4170.05,3886.0,3970.42,117661710.69179864
2021-10-23,3971.24,4177.17,3935.32,4172.37,52878099.19352635
2021-10-24,4169.62,4186.38,3964.0,4082.17,28446468.796369925
2021-10-25,4089.21,4236.83,4069.35,4220.89,70033723.57082936
2021-10-26,4222.48,4297.0,4086.62,4131.91,48614232.174201496
2021-10-27,4131.58,4332.29,3912.41,3923.22,110879889.55855772
2021-10-28,3925.36,4297.68,3893.16,4289.81,106373315.81475404
2021-10-29,4289.75,4460.0,4267.98,4417.0,126487865.0560322
2021-10-30,4423.09,4435.03,4233.31,4323.27,50188067.9611571
2021-10-31,4329.0,4397.95,4168.0,4288.58,46236389.87164825
2021-11-01,4292.76,4383.95,4150.0,4323.95,73279357.70129678
2021-11-02,4323.06,4600.0,4288.52,4595.58,121521674.81057182
2021-11-03,4594.99,4670.81,4455.72,4606.95,95637352.17895845
2021-11-04,4605.54,4609.66,4421.72,4538.2,55947038.6388322
2021-11-05,4537.48,4575.1,4446.47,4480.0,42738371.9399616
2021-11-06,4471.18,4532.76,4329.72,4522.65,34751407.49692392
2021-11-07,4519.87,4640.0,4507.55,4617.75,39022672.80709955
2021-11-08,4617.62,4824.99,4617.56,4811.59,90500294.00763568
2021-11-09,4806.79,4842.65,4712.4,4733.09,90910886.76285912
2021-11-10,4733.09,4868.79,4452.86,4634.19,121442598.9492182
2021-11-11,4631.42,4783.27,4580.0,4723.51,87649138.09276117
2021-11-12,4719.61,4810.93,4510.01,4673.95,66465822.98009051
2021-11-13,4669.06,4707.42,4586.9,4646.02,33147239.15739135
2021-11-14,4645.58,4694.49,4517.91,4630.85,65737822.11137793
2021-11-15,4634.5,4771.23,4540.87,4562.3,112829449.1871324
2021-11-16,4560.0,4560.0,4106.14,4209.77,176434971.83269423
2021-11-17,4208.77,4301.15,4065.0,4291.83,73167767.08572488
2021-11-18,4290.66,4347.18,3958.67,3999.76,177475284.32311127
2021-11-19,3999.44,4314.14,3975.55,4300.36,192787468.99143547
2021-11-20,4302.95,4439.92,4205.87,4415.51,39426815.47233748
2021-11-21,4415.06,4441.0,4247.08,4265.94,22797026.07585868
2021-11-22,4264.08,4322.44,4024.03,4094.09,121301475.14908633
2021-11-23,4089.12,4390.82,4063.68,4342.53,128890343.04579943
2021-11-24,4345.49,4374.89,4166.12,4270.67,56756899.18689312
2021-11-25,4271.53,4556.42,4251.88,4525.78,45864548.9005368
2021-11-26,4528.17,4555.25,3917.0,4045.9,146507468.22031754
2021-11-27,4044.64,4186.07,4031.94,4100.3,38540602.379109934
2021-11-28,4099.3,4302.03,3965.01,4300.86,57346703.84211294
2021-11-29,4302.0,4463.43,4280.57,4448.71,68541488.05124196
2021-11-30,4449.57,4757.8,4350.0,4630.88,250051161.97590292
2021-12-01,4625.07,4784.0,4525.31,4587.58,161623831.99761668
2021-12-02,4587.72,4638.7,4435.0,4516.03,86443529.58718953
2021-12-03,4515.97,4660.81,4039.0,4222.8,122587876.18549746
2021-12-04,4219.57,4242.14,3470.02,4124.51,228705669.07468787
2021-12-05,4127.42,4258.0,4036.12,4198.73,84221113.39109144
2021-12-06,4202.73,4382.02,3922.8,4357.06,226510480.47011653
2021-12-07,4356.95,4431.28,4256.06,4311.66,68427169.82761398
2021-12-08,4313.54,4457.43,4226.05,4442.56,51996969.12069833
2021-12-09,4443.93,4491.99,4073.42,4105.61,68969122.21722944
2021-12-10,4106.71,4234.0,3885.05,3901.67,94497540.6756922
2021-12-11,3895.01,4098.07,3833.66,4089.22,35895909.15797546
2021-12-12,4095.23,4177.62,3987.85,4136.06,28104771.855675142
2021-12-13,4130.46,4144.01,3669.48,3786.59,80030485.45821807
2021-12-14,3785.56,3884.2,3686.66,3862.68,44482904.02408224
2021-12-15,3859.68,4094.78,3640.6,4020.51,133374010.91315658
2021-12-16,4020.63,4117.4,3952.93,3955.08,64845199.21066418
2021-12-17,3957.0,3994.99,3695.19,3877.3,135889819.6005219
2021-12-18,3878.48,3999.0,3768.85,3961.56,78695271.55659206
2021-12-19,3957.08,4030.11,3883.44,3922.28,33206962.12646017
2021-12-20,3927.07,3983.23,3755.0,3946.12,64821351.54998781
2021-12-21,3949.91,4064.01,3915.94,4018.39,54679887.44879392
2021-12-22,4017.87,4076.0,3930.0,3981.73,36129319.78029497
2021-12-23,3982.7,4155.0,3895.91,4113.76,54247405.78815375
2021-12-24,4116.4,4137.85,4020.0,4049.93,27701236.259925477
2021-12-25,4052.45,4140.0,4023.07,4099.24,15784662.805211945
2021-12-26,4098.62,4106.84,4002.97,4062.58,15922878.022229422
2021-12-27,4066.11,4128.82,4034.7,4037.4,28606789.51623313
2021-12-28,4040.2,4040.2,3760.0,3793.08,82520935.71029812
2021-12-29,3791.13,3827.86,3603.86,3627.68,51374378.71105415
2021-12-30,3630.25,3769.81,3585.0,3711.82,60549802.81853485
2021-12-31,3706.57,3815.62,3620.66,3677.0,102221013.40613955
2022-01-01,3678.39,3777.73,3676.5,3768.13,22515284.14364491
2022-01-02,3769.81,3858.28,3718.86,3830.84,37111549.96933658
2022-01-03,3827.03,3853.67,3681.14,3764.9,43631927.30261369
